sampleid	Extraction_Batch	Horse_No.	day	Date_of_sample	Preg_Pos	Date_of_Ovulation	Day_post_Ov	Date_bred	Day_post_insemination	Notes
10-1	4	10	1	7/22/2024	N	7/23/2024	-1	7/22/2024	0	
10-2	1	10	2	7/23/2024	N	7/23/2024	0	7/22/2024	1	
10-14	3	10	14	8/2/2024	N	7/23/2024	10	7/22/2024	11	
11-1	6	11	1	7/5/2024	Y	8/7/2024	-33	7/6/2024	-1	
11-2	5	11	2	7/7/2024	Y	8/7/2024	-31	7/6/2024	1	
11-14	2	11	14	8/21/2024	Y	8/7/2024	14	8/6/2024	15	
11-25	3	11	25	9/1/2024	Y	8/7/2024	25	8/6/2024	26	
11-33	4	11	33	9/10/2024	Y	8/7/2024	34	8/6/2024	35	
12-1	6	12	1	7/8/2024	Y	7/9/2024	-1	7/9/2024	-1	
12-2	5	12	2	7/10/2024	Y	7/9/2024	1	7/9/2024	1	
12-25	1	12	25	8/2/2024	Y	7/9/2024	24	7/9/2024	24	no_day_14
12-33	6	12	33	8/12/2024	Y	7/9/2024	34	7/9/2024	34	
13-1	1	13	1	8/5/2024	N	8/9/2024	-4	8/6/2024	-1	
13-2	6	13	2	8/7/2024	N	8/9/2024	-2	8/6/2024	1	
13-14	4	13	14	8/23/2024	N	8/9/2024	14	8/6/2024	17	
14-1	2	14	1	8/9/2024	N	8/11/2024	-2	8/10/2024	-1	
14-2	4	14	2	8/11/2024	N	8/11/2024	0	8/10/2024	1	
14-14	3	14	14	8/23/2024	N	8/11/2024	12	8/10/2024	13	
15-1-8-17	6	15	1	8/17/2024	N	8/20/2024	-3	8/19/2024	-2	
15-1-8-5	6	15	1	8/4/2024	N	8/20/2024	-16	8/6/2024	-2	
15-2-8-20	3	15	2	8/20/2024	N	8/20/2024	0	8/19/2024	1	
15-2-8-7	5	15	2	8/7/2024	N	8/20/2024	-13	8/6/2024	1	
15-14	2	15	14	9/3/2024	N	8/20/2024	14	8/19/2024	15	
16-1	1	16	1	8/9/2024	N	8/11/2024	-2	8/10/2024	-1	
16-2	2	16	2	8/11/2024	N	8/11/2024	0	8/10/2024	1	
16-14	4	16	14	8/23/2024	N	8/11/2024	12	8/10/2024	13	
2-1	4	2	1	7/9/2024	Y	7/11/2024	-2	7/10/2024	-1	
2-2	1	2	2	7/11/2024	Y	7/11/2024	0	7/10/2024	1	
2-14	5	2	14	7/25/2024	Y	7/11/2024	14	7/10/2024	15	
2-25	2	2	25	8/6/2024	Y	7/11/2024	26	7/10/2024	27	
2-33	3	2	33	8/13/2024	Y	7/11/2024	33	7/10/2024	34	
3-1	5	3	1	7/25/2024	N	7/26/2024	-1	7/25/2024	0	
3-2	2	3	2	7/26/2024	N	7/26/2024	0	7/25/2024	1	
3-14	4	3	14	8/27/2024	N	8/13/2024	14	8/11/2024	16	
4-1	2	4	1	7/24/2024	Y	7/26/2024	-2	7/25/2024	-1	
4-2	3	4	2	7/26/2024	Y	7/26/2024	0	7/25/2024	1	
4-14	6	4	14	8/9/2024	Y	7/26/2024	14	7/25/2024	15	
4-14-7-23	6	4	14	7/23/2024	Y	?	#VALUE!		45496	mystery_sample_-_incorrectly_labeled_-_Mare_#5?
4-25	1	4	25	8/20/2024	Y	7/26/2024	25	7/25/2024	26	
4-33	4	4	33	8/29/2024	Y	7/26/2024	34	7/25/2024	35	
5-1	4	5	1	7/8/2024	N	7/10/2024	-2	7/9/2024	-1	
5-2	6	5	2	7/10/2024	N	7/10/2024	0	7/9/2024	1	
6-1	3	6	1	8/1/2024	N	8/2/2024	-1	8/1/2024	0	no_day_14
6-2	2	6	2	8/2/2024	N	8/2/2024	0	8/1/2024	1	
7-1	3	7	1	7/9/2024	Y	7/11/2024	-2	7/10/2024	-1	
7-2	4	7	2	7/11/2024	Y	7/11/2024	0	7/10/2024	1	
7-14	1	7	14	7/25/2024	Y	7/11/2024	14	7/10/2024	15	
7-33	2	7	33	8/13/2024	Y	7/11/2024	33	7/10/2024	34	
8-1	2	8	1	7/8/2024	Y	7/10/2024	-2	7/9/2024	-1	
8-2	3	8	2	7/10/2024	Y	7/10/2024	0	7/9/2024	1	
8-14	1	8	14	7/24/2024	Y	7/10/2024	14	7/9/2024	15	
8-25	4	8	25	8/4/2024	Y	7/10/2024	25	7/9/2024	26	
8-33	5	8	33	8/12/2024	Y	7/10/2024	33	7/9/2024	34	dead_embryo
9-1	5	9	1	7/17/2024	N	7/21/2024	-4	7/18/2024	-1	
9-2	4	9	2	7/19/2024	N	7/21/2024	-2	7/18/2024	1	
9-14	3	9	14	8/23/2024	N	7/21/2024	33	7/18/2024	36	
NTC-libprep1	NA	NA	NA	NA	NA	NA	NA	NA	NA
blank-kit-fecal-extraction	NA	NA	NA	NA	NA	NA	NA	NA	NA
